Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
4	3765.40624210619	941.351560526547	449.600642335442	0.263029569867506	0.001
9	5600.55604267309	622.284004741455	297.21020283892	0.391222554010315	0.001
4	1806.15783076355	451.539457690888	215.660587107398	0.126167772291372	0.001
1	580.223321341606	580.223321341606	277.12152283178	0.0405310558348181	0.001
36	395.065771865402	10.9740492184834	5.2413357395308	0.0275970169914539	0.001
36	505.369356050283	14.0380376680634	6.70473287276444	0.0353021894051388	0.001
9	315.905819165433	35.100646573937	16.7644840756456	0.0220673591084419	0.001
16	484.910165168092	30.3068853230058	14.4749269877327	0.0338730282916836	0.001
4	25.7325373949716	6.4331343487429	3.07254107467264	0.00179752669629957	0.008
4	57.3221987207071	14.3305496801768	6.84444007042759	0.00400419829997778	0.001
372	778.875178418024	2.09375047961834	NA	0.0544077292029922	NA
495	14315.5244636674	NA	NA	1	NA
