Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
4	7.34186498654605	1.83546624663651	110.865466362939	0.179420219089914	0.001
9	13.7887891586208	1.5320876842912	92.5408549130881	0.336969908375864	0.001
4	3.60953148558917	0.902382871397293	54.5055503247297	0.0882095940395418	0.001
1	0.879976238551126	0.879976238551126	53.1521493539052	0.0215048260631443	0.001
36	3.89530275143792	0.108202854206609	6.53564723154097	0.095193261434971	0.001
36	2.38099379105241	0.0661387164181224	3.99489756555214	0.0581866362872633	0.001
9	1.11052726269633	0.12339191807737	7.4530940398025	0.0271390232786119	0.001
16	1.46568154905314	0.0916050968158211	5.53311279807992	0.0358182703072116	0.001
4	0.108167509837827	0.0270418774594567	1.63337809200576	0.00264339351773391	0.094
4	0.180350631246952	0.0450876578117381	2.72337571975023	0.00440740191090812	0.005
372	6.15875679008582	0.0165557978228113	NA	0.150507465694836	NA
495	40.9199421547176	NA	NA	1	NA
